TRB151144,980872531,Sadie,GPUYLW9K95G,GeForce RTX 3060 Ti,Computers,Master,22,909.99,2024-11-26,United States,Pomfret,search.google.com,86224,Y,100
TRB151145,331238400,Erika,GCYNLNRN25E,Freshproduce Protein Bars,Grocery,Bitcoin,10,32.96,2002-11-26,Canada,Kamloops,addthis.com,62435,Y,100
TRB151146,409058008,Clifton,MCLY4ARGVTY,Hanes Pullover Sweatshirt,Clothing,Debit card,24,90.0,2017-11-26,Philippines,Cadiz,gofundme.com,201974,Y,100
TRB151147,571246704,Gary,ELTTK2PHTI4P,Google Home Hub,Electronics,Master,11,74.22,2010-11-26,Spain,Arrigorriaga,ovh.com,11018,Y,100
TRB151148,705373334,Pierce,SHO42BJNLIK,Guess Sneakers,Shoes,Debit card,19,40.67,2014-11-26,Germany,Freudenstadt,mashable.com,183825,Y,100
TRB151149,898820530,Ariel,SHOTLEJNLDK,New Balance Daily Life Shoes,Shoes,American Express,24,40.14,2011-11-26,United States,Pikesville,plesk.com,21788,Y,100
TRB151150,174799858,Brien,DORLT178AOBL2K,Dorman Leak Tester,Automotive,Discover ,8,47.49,2002-11-26,Uganda,Moroto,ebay.co.uk,156862,Y,100
TRB151151,951150785,Hans,HME8VVI5V4J,Keter Garden Bed,Home & Garden,Debit card,31,9.09,2017-11-26,Guatemala,Sibinal,ted.com,109827,Y,100
TRB151152,185660583,Kandi,GCYAB261HPE,Hostess Snowballs,Grocry,Crypto,2,26.43,2009-11-26,Philippines,Makato,bbc.com,117621,Y,100
TRB151153,835771664,Melissa,HME0LNJ3HDE,Pheobe-Light 60-in Black Flush Mount Light,Home & Garden,Crypto,16,43.64,2018-11-26,Brazil,Cuparaque,discord.com,95693,Y,100
TRB151154,632449041,Vern,SHOKB0LM1Y,Toms Slides,Shoes,JCB,5,75.66,2008-11-26,Colombia,La UniÃ³n,elmundo.es,91586,Y,100
TRB151155,973822889,Douglas,MCL8VUIX34J,Levi Jeans,Clothing,Store Gift Card,18,24.63,2012-11-26,Philippines,Tankal,europa.eu,107320,Y,100
TRB151156,483457118,Brice,ELT6WG4DROB,Samsung Galxy S10,Electronics,Debit card,0,352.35,2012-11-26,Italy,Noto,cpanel.com,134781,N,107
TRB151157,874227566,Ada,SHO42BJNLIK,Guess Sneakers,Shoes,UnionPay,6,21.7,2008-11-26,Thailand,Thoen,rt.com,2447,Y,100
TRB151158,227978876,Nathalie,BOKY4ARGVTY,Of Mice and Men,Boks,Crypto,2,15.48,2002-11-26,United States,East Greenwich,uol.com.br,156138,N,113
TRB151159,762518794,Valentine,GCY4PO2TPK,Iceberg Lettuce,Grocery,NYCE,23,8.58,2000-11-26,Italy,Santa Teresa di Riva,yandex.ru,35271,Y,100
