TR1100800,572788191,Shayna,GCYCY4ALY2D,Quest Nutrition Bars,Grocery,25.48,American Express,1,10-02-2017,Cochran,United States,standard.co.uk,pay_id,success
TR1100801,861026684,Elmore,GCY484O8TPI,JiF Creamy Peanut Butter,Grocery,20.06,STAR,5,10-02-2017,Gorodishche,Russia,slideshare.net,pay_id,success
TR1100802,997565878,Ella,GCYHB427HK,Lays Cheddar Chips,Grocery,32.96,Personal Checking Account,21,10-02-2017,Buchen in Odenwald,Germany,google.co.jp,pay_id,success
TR1100803,616653945,Hugh,GCYBP776CF8,Frito Scoops,Grocery,16.43,STAR,9,10-02-2017,JÄ™drzejÃ³w,Poland,smh.com.au,pay_id,success
TR1100804,855043593,Doug,GCYOAJ72C8T,Fruit Gushers,Grocery,32.11,UnionPay ,7,10-02-2017,HÃ¶velhof,Germany,www.wix.com,pay_id,success
TR1100805,489116651,Theresa,GCY4S4I9TPX,Think Protein Bars,Grocery,38.52,Master,2,10-02-2017,Lokwabe,Botswana,imageshack.us,pay_id,success
TR1100806,064741769,Trey,GCYLTO315GG,McCafe Coffee Cups,Grocery,21.84,Discover ,8,10-02-2017,Ripi,Italy,mozilla.org,pay_id,success
TR1100807,034717967,Ivy,GCYA82I9OK,Lays Barbeque Chips,Grocery,27.57,Discover ,0,10-02-2017,Schwieberdingen,Germany,smh.com.au,pay_id,success
TR1100808,632873887,Birtha,GCY30BYNO6K,365 Whole Foods Organize Snap Peas,Grocery,10.48,Bitcoin,17,10-02-2017,Kiel,United States,usgs.gov,pay_id,success
TR1100809,509069563,Russel,GCYBP776CF8,Frito Scoops,Grocery,16.43,DinersClub ,14,10-02-2017,Jackson,United States,doi.org,pay_id,success
TR1100810,783833769,Lorenzo,GCYCY4ALY2D,Quest Nutrition Bars,Grocery,25.48,E-wallet,2,10-02-2017,Jacinto,Brazil,imdb.com,pay_id,success
TR1100811,943619488,Christeen,GCY4VXIX34H,Starbucks Coffee Beans,Grocery,26.09,Master,9,10-02-2017,Santos Reyes Nopala,Mexico,sapo.pt,pay_id,success
TR1100812,666989544,Joe,GCY556JN4RK,Hostess Twinkies,Grocery,12.23,Bitcoin,6,10-02-2017,Candeias,Brazil,francetvinfo.fr,pay_id,success
TR1100813,747453586,Ella,GCYU89W9OP,Bounty Quick-Size Paper Towels,Grocery,10.51,Store Gift Card,6,10-02-2017,Qincun,China,scribd.com,pay_id,success
TR1100814,406809186,Rhonda,GCYEMP0HGB,10-lb Quinoa ,Grocery,37.45,American Express,18,10-02-2017,Northgate,United States,blackberry.com,pay_id,success
TR1100816,846541458,Susie,GCY4VXIX34H,Starbucks Coffee Beans,Grocery,26.09,Visa,23,10-02-2017,JÅetsu,Japan,rapidshare.com,pay_id,success
TR1100817,610969606,Lawerence,GCYIWT4DR0P,Natierra Organize freeze-dried mango,Grocery,20.22,Discover ,20,10-02-2017,Ulan-Ude,Russia,sciencedirect.com,pay_id,success
TR1100818,845440753,Corey,GCY9MO00GMB,Dawn Dish Soap Ultra,Grocery,8.97,STAR,19,10-02-2017,Bad Freienwalde,Germany,vk.com,pay_id,success
TR1100819,527503113,Hector,GCY9MO00GMB,Dawn Dish Soap Ultra,Grocery,8.97,Discover ,24,10-02-2017,Newarthill,United Kingdom,blackberry.com,pay_id,success
TR1100820,007900786,Ruben,GCYY4ARGVTY,Welch's Fruit Snacks,Grocery,6.06,NYCE,17,10-02-2017,Shenandoah,United States,unam.mx,pay_id,success
TR1100822,107675400,Roxanne,GCY8FX067SC,Monster Energy Drinks,Grocery,5.52,DinersClub ,12,10-02-2017,Rhyl,United Kingdom,businessinsider.com,pay_id,success
TR1100823,011621872,Ginny,GCY6JIV49A1,Frito-Lay Ultimate Snack Pack,Grocery,9.31,NYCE,11,10-02-2017,Chantilly,United States,pixabay.com,pay_id,success
TR1100824,972316276,Trever,GCYA82I9OK,Lays Barbeque Chips,Grocery,27.57,Crypto,20,10-02-2017,Amsterdam,Netherlands,offset.com,pay_id,success
TR1100825,995081035,Paul,GCY40BJN4IK,GoMacro MacroBars,Grocery,20.36,NYCE,14,10-02-2017,Broni,Italy,rottentomatoes.com,pay_id,success
TR1100826,254070155,Lauri,GCYOAJ72C8T,Fruit Gushers,Grocery,32.11,PrepaidCard,16,10-02-2017,Erdenet,Mongolia,howstuffworks.com,pay_id,success
TR1100827,683257569,Larry,GCYA82I9OK,Lays Barbeque Chips,Grocery,27.57,Personal Checking Account,2,10-02-2017,Sokolo,Mali,skype.com,pay_id,success
TR1100828,366377986,Angie,GCYMHB4W78K,FIJI Natural Water,Grocery,9.48,NYCE,18,10-02-2017,Debrecen,Hungary,xbox.com,pay_id,success
TR1100829,994355177,Dawson,GCYAFBI2P8,Organic banana break mix ,Grocery,21.83,DinersClub ,0,10-02-2017,Oued Laou,Morocco,books.google.com,pay_id,success
TR1100830,122909013,Wayne,GCYS1J7CCPT,Maruchan Ramen Chicken,Grocery,20.71,Crypto,5,10-02-2017,Zhongshan,China,ikea.com,pay_id,success
TR1100831,174576112,Lelia,GCYAB261HPE,Hostess Snowballs,Grocery,37.76,DinersClub ,12,10-02-2017,Ain El Aouda,Morocco,php.net,pay_id,success
TR1100832,425038936,Helene,GCYOAJ72C8T,Fruit Gushers,Grocery,32.11,PrepaidCard,9,10-02-2017,Sierra Vista,United States,europa.eu,pay_id,success
TR1100833,379041686,Sylvester,GCY1LZLXC18,Haas Avocados 10-lb,Grocery,23.30,Visa,17,10-02-2017,Kriens,Switzerland,ox.ac.uk,pay_id,success
TR1100834,404310495,Alison,GCYT2PHYBB,10-lb Premium Brown Rice,Grocery,17.99,UnionPay ,22,10-02-2017,Cajabamba,Peru,psychologytoday.com,pay_id,success
TR1100835,263540800,Jedidiah,GCYXP0L5YKJ,Enfamil Infant Formula,Grocery,22.96,NYCE,18,10-02-2017,Succasunna,United States,android.com,pay_id,success
TR1100836,964522065,Kristi,GCYYBXANPT9,Lazza Super Crema Whole Bean Coffee,Grocery,6.30,JCB,8,10-02-2017,Broadalbin,United States,ign.com,pay_id,success
TR1100837,964983524,Melissa,GCYAFBI2P8,Organic banana break mix ,Grocery,21.83,Master,8,10-02-2017,Guararapes,Brazil,msn.com,pay_id,success
TR1100838,046337310,Deane,GCYY4ARGVTY,Welch's Fruit Snacks,Grocery,6.06,Master,22,10-02-2017,BÃ©darrides,France,sciencedirect.com,pay_id,success
TR1100839,238853017,Dominick,GCY484O8TPI,JiF Creamy Peanut Butter,Grocery,20.06,Debit card,13,10-02-2017,Santa Cruz,Philippines,cnil.fr,pay_id,success
TR1100840,065985254,Wardell,GCY0L6LFCF8,Lyson Laundry Sanitizer,Grocery,14.84,Store Gift Card,17,10-02-2017,Sayá¸©Å«t,Yemen,biglobe.ne.jp,pay_id,success
TR1100841,972576910,Golden,GCYA82I9OK,Lays Barbeque Chips,Grocery,27.57,Master,24,10-02-2017,Freiburg im Breisgau,Germany,gravatar.com,pay_id,success
TR1100842,640110866,Tillman,GCYYBXANPT9,Lazza Super Crema Whole Bean Coffee,Grocery,6.30,Store Gift Card,21,10-02-2017,Stafford,United States,weibo.com,pay_id,success
TR1100843,128063266,Kristyn,GCYRLNJNHDE,Redbull,Grocery,9.62,Debit card,22,10-02-2017,Vlasotince,Serbia,plos.org,pay_id,success
TR1100844,867218004,Francisco,GCYKB0LM1KY,1 Liter Coca-Cola,Grocery,6.23,NYCE,14,10-02-2017,Dalton,United States,utexas.edu,pay_id,success
TR1100845,607659667,Leone,GCYXP0L5YKJ,Enfamil Infant Formula,Grocery,22.96,Discover ,24,10-02-2017,Westmount,Canada,cloudflare.com,pay_id,success
TR1100846,835901733,Llewellyn,GCY4VXIX34H,Starbucks Coffee Beans,Grocery,26.09,Crypto,12,10-02-2017,Comines,France,feedburner.com,pay_id,success
TR1100847,588210183,Lazaro,GCYXP0L5YKJ,Enfamil Infant Formula,Grocery,22.96,Bitcoin,19,10-02-2017,St. Louis Park,United States,businesswire.com,pay_id,success
TR1100848,036599816,Pierce,GCYN1X027SK,Happy Baby Organic Infant Milk Powder,Grocery,33.31,PrepaidCard,0,10-02-2017,Belo Vale,Brazil,aliexpress.com,pay_id,success
TR1100849,392195461,Vida,GCY62XV4FA2,1 lb Red Onions,Grocery,35.07,Personal Checking Account,15,10-02-2017,Uyskoye,Russia,pnas.org,pay_id,success
TR1100850,428346426,Rosalyn,GCYU8XI90F,Gerber Organic Kale Cereals,Grocery,14.68,STAR,12,10-02-2017,Argoncilhe,Portugal,github.com,pay_id,success
TR1100851,439247228,Stanley,GCY8W60F7SG,Hostess Ding Dongs,Grocery,28.92,STAR,10,10-02-2017,Kandry,Russia,code.google.com,pay_id,success
TR1100852,863736320,Carson,GCYR5G4VR0A,Phils Coffee Coffee Beans,Grocery,39.65,American Express,9,10-02-2017,Kannus,Finland,europa.eu,pay_id,success
TR1100853,002096445,Clark,GCYL5O315UA,Fruit Roll Ups,Grocery,21.84,Debit card,20,10-02-2017,Topoloveni,Romania,latimes.com,pay_id,success
TR1100854,047811118,Theodora,GCY9MO00GMB,Dawn Dish Soap Ultra,Grocery,8.97,Master,20,10-02-2017,Beni,Congo (Kinshasa),paypal.com,pay_id,success
TR1100855,786956496,Avery,GCYP2AAPT1,1 lb White Onions,Grocery,28.96,Visa,14,10-02-2017,The Dalles,United States,bp1.blogger.com,pay_id,success
TR1100856,654355165,Augusta,GCYEMP0HGB,10-lb Quinoa ,Grocery,37.43,JCB,10,10-02-2017,Zemio,Central African Republic,tripadvisor.com,pay_id,success
